dataset,dataset_frame_id,relative_path,estimate_relative_path,method,ri_width,ri_height,original_points_count,reconstructed_points_count,k_neighbors,runtime_seconds,metrics_runtime_seconds,reconstructed_to_original_point_to_plane_mean,reconstructed_to_original_point_to_plane_rmse,reconstructed_to_original_point_to_plane_median,reconstructed_to_original_point_to_plane_p95,reconstructed_to_original_point_to_plane_max,original_to_reconstructed_point_to_plane_mean,original_to_reconstructed_point_to_plane_rmse,original_to_reconstructed_point_to_plane_median,original_to_reconstructed_point_to_plane_p95,original_to_reconstructed_point_to_plane_max,point_to_plane_mean,point_to_plane_rmse,point_to_plane_median,point_to_plane_p95,point_to_plane_max
kitti,25763,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000014.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126461,115643,12,0.9462645630001134,0.9406456209999305,0.016007056606955863,0.02424033598688952,0.011041705858943294,0.04756399011598076,0.27358991248308995,0.019833908174534533,0.05800159037751592,0.01195660028925778,0.059595881251846394,6.965402552933703,0.0180059805243119,0.04514335798751388,0.011499696408482831,0.053409324320951926,6.965402552933703
kitti,26003,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000015.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126353,126353,12,1.0016267549999611,0.9597044550000646,0.00021063074237251622,0.0002555246689352434,0.00019019271432786303,0.00047095313444967744,0.0007434389279369041,0.0002106528845503456,0.00025554918995846073,0.00019030522489432,0.00047080472059248554,0.0007433995756020173,0.00021064181346143094,0.00025553692974097816,0.00019024193038353417,0.0004708815464493443,0.0007434389279369041
kitti,26003,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000015.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126353,116456,12,0.9590130110000246,0.9535210370004279,0.01583402917914322,0.023875828720377856,0.011075989161261908,0.047843544805577384,0.2538065612815536,0.019862544797739853,0.053871560699129954,0.01181643260077817,0.059791193003552755,3.7380485392783456,0.0179303890091188,0.04223302760731401,0.01145375379594781,0.05459754214117452,3.7380485392783456
kitti,25298,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000016.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126129,126129,12,0.9930474020002293,0.9552891889998136,0.00021149373725758922,0.00025680620169477936,0.0001905472766078981,0.0004717347424591159,0.0007613115469657549,0.00021150067400244892,0.00025679993772478616,0.0001905889332050432,0.0004716903566226951,0.0007618389419457202,0.00021149720563001906,0.0002568030697288817,0.0001905666946524648,0.00047172163235105783,0.0007618389419457202
kitti,25298,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000016.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126129,117672,12,0.9428912939993097,0.9374514309993174,0.015952269593432652,0.02401749593168958,0.0108670436160031,0.04995942278336773,0.25783501586922575,0.019463783323416924,0.04742435139707662,0.011508378627075596,0.05976387895426853,4.934497413517513,0.017768930375173443,0.03797312014867966,0.011191945976577033,0.05488202703740243,4.934497413517513
kitti,24397,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000017.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126298,126298,12,1.0037884740013396,0.95499486800054,0.0002118358184572137,0.0002570379858640849,0.0001907899350060988,0.00047287929858335655,0.000757724812972052,0.0002118365239422843,0.0002570462604217122,0.00019084923193885044,0.00047269790358781574,0.0007575775700141148,0.00021183617119974903,0.00025704212317619485,0.00019083463695919518,0.0004727843552539887,0.000757724812972052
kitti,24397,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000017.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126298,117724,12,0.9523429939999914,0.9467910640005357,0.01587716955069097,0.024485880508258062,0.010499641312516763,0.05001907690004545,0.2625090537414443,0.019331759419666996,0.04894211691450419,0.011118322745772981,0.06003268598638745,5.923006473012546,0.01766515502442667,0.03910233835798377,0.010809990713315084,0.05538352470553523,5.923006473012546
kitti,24645,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000018.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126217,126217,12,1.0129467819997444,0.9708984489998329,0.000212373359189639,0.0002573401564424352,0.00019233017698178206,0.00047259534085148167,0.0007983128709292415,0.00021238369896942462,0.00025736141466697546,0.0001923046949573382,0.00047261296135454715,0.0007983931853884576,0.0002123785290795318,0.0002573507857742073,0.00019232731685287413,0.0004725979947376066,0.0007983931853884576
kitti,24645,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000018.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126217,117493,12,0.9480023309997705,0.9424606920001679,0.015883550338782377,0.023945494946145875,0.01074210556141655,0.047882415393949385,0.23258593052613677,0.019123460305575588,0.04422252370935307,0.01128686014390469,0.05719836548446193,2.774019151386004,0.017561494273289527,0.03590611409309087,0.011002973459798927,0.052260213506733114,2.774019151386004
kitti,24110,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000019.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126224,126224,12,1.0211320309999792,0.9640659410006265,0.00021177785659049427,0.00025680171384590505,0.00019141167787537416,0.0004724551432917239,0.000814194520839054,0.00021180864979406474,0.0002568383904970513,0.00019143386335766807,0.0004724300638589462,0.0008140653884993077,0.0002117932531922795,0.00025682005282620543,0.00019142757198709092,0.0004724365975454215,0.000814194520839054
kitti,24110,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000019.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126224,118238,12,0.9531707930000266,0.9476783660002184,0.016218438268097324,0.024644603554663823,0.010999387685504819,0.05053275255715222,0.28763600135629597,0.019594919187938136,0.051299379742677995,0.011482456396822107,0.05780064034307585,3.8394549912473,0.0179618295830092,0.04065163584684164,0.01123592557869477,0.05446641841999445,3.8394549912473
kitti,24384,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000020.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,alice_lri,4000,64,126315,126315,12,1.023107462000553,0.9650484640005743,0.00021037353226804558,0.00025526069900885573,0.0001898192605031402,0.00047095504768153364,0.0007524764191855778,0.00021039424557104603,0.00025529926139072326,0.00018988781132608527,0.0004710822610109055,0.0007574701796319513,0.0002103838889195458,0.00025527998092793964,0.00018985624602165253,0.0004709933094742902,0.0007574701796319513
kitti,24384,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000020.bin,2011_09_30/2011_09_30_drive_0018_sync/velodyne_points/data/0000000000.bin,pbea_native,4000,64,126315,116911,12,0.9544313359992884,0.9487596339995434,0.015839336493622753,0.023539383736040684,0.011172663958469803,0.04722943291451865,0.2701704577446551,0.01981942802030543,0.0456377579529837,0.011938354624383333,0.05902073715573104,3.738418782230544,0.01790632464946515,0.036715206112718994,0.011553145209200406,0.053300032671169964,3.738418782230544
