naive_encoding_time,naive_decoding_time,accurate_encoding_time,accurate_decoding_time,horizontal_step,vertical_step,tile_size,error_threshold,frame_path
75.607975,3.82963,92.062838,7.051224,0.09009,0.47,4,0.5,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
79.957996,3.816311,109.040132,6.843306,0.09009,0.47,4,0.75,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
108.055706,6.50231,122.827191,6.958613,0.09009,0.47,4,1.0,2011_09_30/2011_09_30_drive_0016_sync/velodyne_points/data/0000000000.bin
21.650393,3.761951,16.492957,6.620127,0.09009,0.47,4,0.001,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
11.266506,3.757499,22.193669,7.136519,0.09009,0.47,4,0.01,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
20.197046,3.847197,23.931709,6.767132,0.09009,0.47,4,0.05,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
41.626233,3.789331,37.176619,6.634757,0.09009,0.47,4,0.1,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
56.655953,9.745677,52.516961,6.780718,0.09009,0.47,4,0.25,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
57.353127,3.810536,69.868795,6.736377,0.09009,0.47,4,0.5,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
79.549751,3.998566,76.946792,6.670409,0.09009,0.47,4,0.75,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
78.199779,3.801142,82.850771,6.838658,0.09009,0.47,4,1.0,2011_09_30/2011_09_30_drive_0034_sync/velodyne_points/data/0000000000.bin
23.115136,3.897498,30.414951,6.883558,0.09009,0.47,4,0.001,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
12.150202,3.946683,33.359974,7.211718,0.09009,0.47,4,0.01,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
20.107889,3.88371,32.159184,12.307029,0.09009,0.47,4,0.05,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
34.214997,3.911083,39.277077,7.269353,0.09009,0.47,4,0.1,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
49.435833,3.927861,44.725884,6.950769,0.09009,0.47,4,0.25,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
69.788035,5.534395,68.32248,9.40211,0.09009,0.47,4,0.5,2011_10_03/2011_10_03_drive_0027_sync/velodyne_points/data/0000000000.bin
